Code NL/EN,Translate EN, Code Group (Theme/Subtheme) C,Comment (NL)
Activiteitenplanning,Activity planning,,
Actueel thema,Current theme,,
Actuele problemen,Current problems,,
Adaptatiestrategieën,Adaptation strategies,,
Adaptieve methodes,Adaptive methods,,
ADHD,ADHD,,
ADHD symptoms,ADHD symptoms,,
Adversariële aanvallen,Advisory attacks,,
Adversariële AI,Adversarial AI,,
Adversariële machine learning,Adversarial machine learning,,
Adversariële training,Adversarial training,,
Advies,Advice,,
Adviesgeving,Advice,,
Adviesrapport,Advisory report,,
Adviserende rol,Advisory role,,
Afdwaling,Aberrance,,
Afdwingende omstandigheden,Enforcing circumstances,,
Affect,Affect,,
Affect theorie,Affect theory,,
Affectieve dynamiek,Affective dynamics,,
Affectieve entrainment,Affective entrainment,,
Affectieve ervaringen,Affective experiences,,
Affectieve intensiteiten,Affective intensities,,
Affectieve kwaliteit,Affective quality,,
Affectieve processen,Affective processes,,
Affectieve ruimtes,Affective spaces,,
Affectieve synchronisatie,Affective synchronization,,
Afgeleidheid,Distraction,,
Afhankelijkheid,Dependence,,
Afhankelijkheid van anderen,Dependence on others,,
Afhankelijkheid van communicatie,Dependence on communication,,
Afhankelijkheid van informatiebronnen,Dependence on information sources,,
Afhankelijkheid van technologie,Dependence on technology,,
Afleiding,Distraction,,
Afsluiting,Fence,,
Afspraken en overeenkomsten,Agreements and agreements,,
Afstandelijkheid,Aloofness,,
Afstemming,Tuning,,
Afstemming tussen afdelingen,Coordination between departments,,
Afvalbeheer,Waste management,,
Afvalproblematiek,Waste problems,,
Afwegingen,Considerations,,
Agile methodologie,Agile methodology,,
Agrarische duurzaamheid,Agricultural sustainability,,
Agrarische praktijken,Agricultural practices,,
Agrarische uitdagingen,Agricultural challenges,,
AI ervaringen,AI experiences,,
AI in de zorg,AI in healthcare,,
AI in leren,AI in learning,,
AI in onderwijs,AI in education,,
AI ontwikkelingen,AI developments,,
AI-ethiek,AI ethics,,
AI-integratie,AI integration,,
AI-ondersteund leren,AI-Assisted Learning,,
AI-systemen,AI systems,,
Algoritmische besluitvorming,Algorithmic decision-making,,
Alumni,Alumni,,
Ambitie,Ambition,,
Amusement,Entertainment,,
Analogie,Analogy,,
Analyse,Analysis,,
Analyse van gegevens,Analysis of data,,
Analyse van plannen,Plan analysis,,
Analytisch,Analytical,,
Analytisch denken,Analytical thinking,,
Analytische benadering,Analytical approach,,
Analytische reflectie,Analytical reflection,,
Angst,Fear,,
Angst en risico's,Fear and risks,,
Angst om te verliezen,Fear of losing,,
Angst om zwak te lijken,Fear of appearing weak,,
Angst voor misverstanden,Fear of misunderstandings,,
Anonimiteit,Anonymity,,
Antifouling,Antifouling,,
Arbeidsmarkt,Labour market,,
Arbeidsmarktontwikkelingen,Labour market developments,,
Arbeidsmigranten,Migrant workers,,
Arbeidsomstandigheden,Working conditions,,
Arbeidsproductiviteit,Labour productivity,,
Arbeidsrisico's,Occupational risks,,
Archivering,Archiving,,
Argumentatie,Argumentation,,
Artistiek vakmanschap,Artistic craftsmanship,,
Associaties,Associations,,
Assumpties,Assumptions,,
Atletische prestatie,Athletic performance,,
Attentie,Attention,,
Audio learning,Audio learning,,
Audit,Audit,,
Autoethnografisch,Autoethnographic,,
Automatisering,Automation,,
Autonomie,Autonomy,,
Barrières in communicatie,Barriers in communication,,
Barrières in wetgeving,Barriers in legislation,,
Begeleiding,Accompaniment,,
Begrijpelijkheid,Comprehensibility,,
Begrip en communicatie,Understanding and communication,,
Behaalde successen,Achieved successes,,
Behandelproces en capaciteit,Treatment process and capacity,,
Beheersing en controle,Control and control,,
Behoefte aan verandering en verbetering,Need for change and improvement,,
Behoeftebenadering,Needs approach,,
Behoefteonderzoek,Needs assessment,,
Beïnvloedende factoren,Influencing factors,,
Beïnvloeding,Influence,,
Bekostiging,Funding,,
Belangen en transparantie,Interests and transparency,,
"Beleid, organisatie en sectorgebonden uitdagingen","Policy, organisation and sector-related challenges",,
Beleidsontwikkeling en -uitvoering,Policy development and implementation,,
Beleving van schaarste,Perception of scarcity,,
Belevingsaspecten,Experience aspects,,
Belichaamde cognitie,Embodied cognition,,
Beoogde effecten,Intended effects,,
Beoordeling,Assessment,,
Beoordeling op basis van afkomst,Assessment based on ancestry,,
Beoordeling van duidelijkheid,Assessment of clarity,,
Beperking van onderzoek,Limitation of research,,
Beperkingen,Restrictions,,
Beperkingen in middelen,Resource limitations,,
Beperkingen in werk,Limitations in work,,
Beperkingen in zorgverlening,Limitations in care provision,,
Beperkingen van aanpakken,Limitations of approach,,
Beperkingen van de studie,Limitations of the study,,
Beperkingen van modellen,Limitations of models,,
Beperkingen van theoretische benaderingen,Limitations of theoretical approaches,,
Beperkte gegevens,Limited data,,
Beperkte interesse,Limited interest,,
Beroepsspecifieke uitdagingen,Profession-specific challenges,,
Besluitvorming,Decision-making,,
Bespreekbaarheid van kwetsbare thema’s,Discussability of vulnerable themes,,
Best practices,Best practices,,
Betrokkenheid,Involvement,,
Betrokkenheid bij issue,Involvement in issue,,
Betrokkenheid bij projecten en wetenschap,Involvement in projects and science,,
Betrouwbaarheid,Reliability,,
Betrouwbaarheid diagnose,Reliability diagnosis,,
Betrouwbare identificatie,Reliable identification,,
Betwijfeldheid,Doubtfulness,,
Bevoegdheid,Authorization,,
Bevolkingsonderzoek,Population screening,,
Bevorderingen,Promotions,,
Bevrediging,Satisfaction,,
Bewustzijn en bewustwording,Awareness and awareness,,
Bijdrage aan kennis,Contribution to knowledge,,
Bijwerkingen,Side effects,,
Binnenklimaat,Indoor,,
Biodiversiteit,Biodiversity,,
Biowetenschappelijke grondslagen,Life science foundations,,
Bodem als fundament,Soil as a foundation,,
Bodemgerichte strategieën,Soil-oriented strategies,,
Boos,Angry,,
Bosbranden,Forest fires,,
Bouwsector en infrastructuur,Construction and infrastructure,,
Brand,Fire,,
Brandbestrijding,Firefighting,,
Brongebruik en -beoordeling,Source use and assessment,,
Buitenactiviteiten en buitenwerk,Outdoor activities and outdoor work,,
Bureaucratie en administratieve obstakels,Bureaucracy and administrative obstacles,,
Burgerschap en participatie,Citizenship and participation,,
Call to action,Call to action,,
Campusleven,Campus life,,
Carrièreontwikkeling en -perspectieven,Career development and prospects,,
Certificering en kwaliteitswaarborging in duurzaamheidspraktijken,Certification and quality assurance in sustainability practices,,
Cinematische representatie,Cinematic representation,,
Circulair gedrag,Circular behaviour,,
Circulaire economie,Circular economy,,
Cliëntgerichte participatie en zorgbenaderingen,Client-centred participation and care approaches,,
Co-creatie,Co-creation,,
Coaching,Coaching,,
Cognitieve processen en ontwikkeling,Cognitive processes and development,,
Collectieve dynamieken en ervaringen,Collective dynamics and experiences,,
Combinatie van behandelingen,Combination of treatments,,
Comfort,Comfort,,
Commitment,Commitment,,
Communicatie en communicatiestrategieën,Communication and communication strategies,,
Community betrokkenheid,Community engagement,,
Communitybetrokkenheid en -vorming,Community Engagement and Formation,,
Competentieontwikkeling en professionele groei,Competence development and professional growth,,
Competitie,Competition,,
Complexiteitstheorie en systeemdynamiek,Complexity theory and system dynamics,,
Conceptuele helderheid en theoretische afbakening,Conceptual clarity and theoretical delineation,,
Conferentie,Conference,,
"Conflict, macht en discursieve spanningsvelden","Conflict, power and discursive tensions",,
Connectie,Connection,,
Consensus,Consensus,,
Consistentie,Consistence,,
Constructieve benaderingen,Constructive approaches,,
Consumentengedrag en participatieve keuzes,Consumer behaviour and participatory choices,,
Contextuele beperkingen,Contextual limitations,,
Contextuele inbedding en situationaliteit,Contextual embedding and situationality,,
Continuïteit,Continuity,,
"Controle, regulering en organisatorische afstemming","Control, regulation and organizational alignment",,
Corporate cultuur,Corporate culture,,
Cosmetische schade,Cosmetic damage,,
Creatieve invulling van digitale storytelllingstrategieën,Creative interpretation of digital storytelling strategies,,
Creatieve invulling van digitale storytelllingstrategieën: Combinatorische creativiteit,Creative interpretation of digital storytelling strategies: Combinatorial creativity,,
Creatieve invulling van digitale storytelllingstrategieën: Exploratorische creativiteit,Creative interpretation of digital storytelling strategies: Exploratory creativity,,
Creatieve invulling van digitale storytelllingstrategieën: Transformationele creativiteit,Creative interpretation of digital storytelling strategies: Transformational creativity,,
Creativiteit en innovatieve processen,Creativity and innovative processes,,
Criminaliteitsvraagstukken,Crime issues,,
Crisisbeheersing,Crisis management,,
Crisismanagement en rampenbestrijding,Crisis management and disaster relief,,
Cultuur en culturele dynamieken,Culture and cultural dynamics,,
Dankbaarheid,Gratitude,,
Data-analyse en interpretatie,Data analysis and interpretation,,
Data-ethiek en veiligheid,Data ethics and security,,
Data-integriteit en kwaliteit,Data integrity and quality,,
Dataplatforms,Data platforms,,
Datapraktijken,Data practices,,
Dataverzameling en gebruik,Data collection and use,,
Debat(cultuur),Debate (culture),,
Decentrale overheden,Local authorities,,
Decision-making,Decision-making,,
Deelfietsen,Shared bicycles,,
Defensiebeleid en strategieën,Defence policy and strategies,,
Delen,Share,,
Dementie en zorg,Dementia and care,,
Democratisch bestel,Democratic system,,
Democratische betrokkenheid,Democratic involvement,,
Demografische ontwikkelingen,Demographic developments,,
Depressieve gevoelens,Depressive feelings,,
Descriptieve analyse,Descriptive analysis,,
Descriptieve statistieken,Descriptive statistics,,
Desinformatie en weerbaarheid,Disinformation and resilience,,
Desinteresse en motivatieverlies,Disinterest and loss of motivation,,
Deskundigheid,Expertise,,
Diagnostiek,Diagnostics,,
Dialoog,Dialogue,,
Dienstverlening,Service,,
Diepgang,Draft,,
Digitale communicatie en (publieke) perceptie,Digital communication and (public) perception,,
Digitale inclusie en ongelijkheid,Digital inclusion and inequality,,
Digitale transformatie en technologie,Digital transformation and technology,,
Digitale veiligheid en cybersecurity-uitdagingen,Digital security and cybersecurity challenges,,
Diploma,Diploma,,
Discipline,Discipline,,
Discriminatie en bestrijding,Discrimination and combating,,
Discussie,Discussion,,
Disillusionment,Disillusionment,,
Displacement,Displacement,,
Diversiteit en inclusie,Diversity and inclusion,,
Diversiteit in kennis en ervaring,Diversity in knowledge and experience,,
Documentatie,Documentation,,
Doelgerichtheid en onderzoek,Targeting and research,,
Doelgroepen en communicatie,Target groups and communication,,
Double standards,Double standards,,
Download,Download,,
Draagvlak en publieke steun,Support and public support,,
Drempels voor kleine organisaties,Barriers for small organizations,,
Duidelijk taalgebruik,Clear language,,
Duidelijke communicatie,Clear communication,,
Duidelijkheid,Clarity,,
Duurzaamheid en duurzame ontwikkeling,Sustainability and sustainable development,,
Ecologie,Ecology,,
Ecologisch bewustzijn,Ecological awareness,,
Ecologische duurzaamheid en klimaatadaptatie,Ecological sustainability and climate adaptation,,
Ecologische gevolgen,Ecological consequences,,
Ecologische gezondheid,Ecological health,,
Ecologische integratie,Ecological integration,,
Ecologische verbinding,Ecological connection,,
Ecologische waarde,Ecological value,,
Economic activities,Economic activities,,
Economic activity,Economic activity,,
Economic challenges,Economic challenges,,
Economic critique,Economic critique,,
Economic empowerment,Economic empowerment,,
Economic Factors,Economic Factors,,
Economic hardship,Economic hardship,,
Economic impact,Economic impact,,
Economic importance,Economic importance,,
Economic instability,Economic instability,,
Economic opportunities,Economic opportunities,,
Economic opportunity,Economic opportunity,,
Economic protectionism,Economic protectionism,,
Economic resilience,Economic resilience,,
Economic support,Economic support,,
Economic uncertainty,Economic uncertainty,,
Economie,Economy,,
Economie en financiën,Economy and finance,,
Economisch potentieel,Economic potential,,
Economische beperkingen,Economic constraints,,
Economische betekenis,Economic significance,,
Economische concepten,Economic concepts,,
Economische druk,Economic pressure,,
Economische factoren,Economic factors,,
Economische groei,Economic growth,,
Economische haalbaarheid,Economic feasibility,,
Economische impact,Economic impact,,
Economische kansen,Economic opportunities,,
Economische ontwikkeling,Economic development,,
Economische onzekerheid,Economic uncertainty,,
Economische overwegingen,Economic considerations,,
Economische prestaties,Economic performance,,
Economische schade,Economic damage,,
Economische waarde,Economic value,,
Economische waardering,Economic valuation,,
Economische zorgen,Economic concerns,,
Ecosysteem,Ecosystem,,
Ecosysteemdenken,Ecosystem thinking,,
Ecosystemen,Ecosystems,,
Educatie,Education,,
Educatief certificaat,Educational certificate,,
Educatieve initiatieven,Educational initiatives,,
Educatieve ontwikkeling,Educational development,,
Education Opportunities,Education Opportunities,,
Educational background,Educational background,,
Educational Challenges,Educational Challenges,,
Educational goals,Educational goals,,
Educational journey,Educational journey,,
Educational methods,Educational methods,,
Educational Strategies,Educational Strategies,,
Educational technology,Educational technology,,
Educational tools,Educational tools,,
Educational value,Educational value,,
Eenvoudige taal,Simple language,,
Eenvoudige taalgebruik,Simple language,,
Eenzaamheid,Loneliness,,
Eerlijkheid,Honesty,,
Eetgedrag,Eating behavior,,
Effecten,Securities,,
Effecten analyseren,Analyzing effects,,
Effecten van de lockdown,Effects of the lockdown,,
Effecten van luchtvaart,Effects of aviation,,
Effectevaluatie,Impact evaluation,,
Effectief,Effective,,
Effectief beleid,Effective policy,,
Effectieve communicatie,Effective communication,,
Effectieve ervaring,Effective experience,,
Effectieve ervaringen,Effective experiences,,
Effectieve feedback,Effective feedback,,
Effectiveness of AI-assisted learning,Effectiveness of AI-assisted learning,,
Effectiveness of multimedia,Effectiveness of multimedia,,
Effectiviteit,Effectiveness,,
Effectiviteit van informatie,Effectiveness of information,,
Effectiviteit van maatregelen,Effectiveness of measures,,
Effectiviteitsbeoordeling,Effectiveness assessment,,
Efficacy of technology,Efficacy of technology,,
Efficiëntie,Efficiency,,
Efficiëntie in leren,Efficiency in learning,,
Efficiëntie in zorg,Efficiency in care,,
Efficiëntie in zorgprocessen,Efficiency in care processes,,
Efficiëntie in zorgverlening,Efficiency in care delivery,,
Effort,Effort,,
eHealth,eHealth,,
Eigen regie,Own control,,
Eind van het leven,End of life,,
Elitisme,Elitism,,
Embodied attention,Embodied attention,,
Embodied cognition,Embodied cognition,,
Embodied experience,Embodied experience,,
Embodied knowledge,Embodied knowledge,,
Embodied learning,Embodied learning,,
Embodied practice,Embodied practice,,
Embodied practices,Embodied practices,,
Embodiment,Embodiment,,
Emerging technologies,Emerging technologies,,
Emissieanalyse,Emission analysis,,
Emissiereductie,Emission reduction,,
Emissies,Emissions,,
Emotieherkenning,Emotion recognition,,
Emotion dynamics,Emotion dynamics,,
Emotion regulation,Emotion regulation,,
Emotion theory,Emotion theory,,
Emotional analysis,Emotional analysis,,
Emotional appeals,Emotional appeals,,
Emotional appraisal,Emotional appraisal,,
Emotional awareness,Emotional awareness,,
Emotional experience,Emotional experience,,
Emotional expression,Emotional expression,,
Emotional factors,Emotional factors,,
Emotional fluctuations,Emotional fluctuations,,
Emotional intelligence,Emotional intelligence,,
Emotional measures,Emotional measures,,
Emotional range,Emotional range,,
Emotional regulation,Emotional regulation,,
Emotional regulation strategies,Emotional regulation strategies,,
Emotional release,Emotional release,,
Emotional responses,Emotional responses,,
Emotional state,Emotional state,,
Emotional synchronization,Emotional synchronization,,
Emotional transformation,Emotional transformation,,
Emotioneel welzijn,Emotional well-being,,
Emotionele belasting,Emotional burden,,
Emotionele beleving,Emotional experience,,
Emotionele betrokkenheid,Emotional involvement,,
Emotionele druk,Emotional pressure,,
Emotionele impact,Emotional impact,,
Emotionele intelligentie,Emotional intelligence,,
Emotionele reactie,Emotional response,,
Emotionele toestand,Emotional state,,
Emotionele uitdrukking,Emotional expression,,
Emotionele verbinding,Emotional connection,,
Emotionele verbondenheid,Emotional connection,,
Emotionele weersgevoeligheid,Emotional weather sensitivity,,
Emotions,Emotions,,
Empathie,Empathy,,
Empirical evidence,Empirical evidence,,
Employment,Employment,,
Empowerment,Empowerment,,
Empowerment barriers,Empowerment barriers,,
Empowerment van vrouwen,Empowering women,,
Encouragement,Encouragement,,
Energie,Energy,,
Energie transitie,Energy transition,,
Energie-efficiëntie,Energy efficiency,,
Energie-infrastructuur,Energy infrastructure,,
Energiebeheer,Power,,
Energiebeleid,Energy policy,,
Energiemanagement,Energy management,,
Energieontwikkeling,Energy development,,
Energieoplossingen,Energy solutions,,
Energieovergang,Energy transition,,
Energieproductie,Energy,,
Energiesystemen,Energy systems,,
Energietransitie,Energy transition,,
Energieverbruik,Energy consumption,,
Energievisie,Energy vision,,
Energievoorkeuren,Energy preferences,,
Energievoorziening,Energy supply,,
Energievraag,Energy demand,,
Energiezekerheid,Energy security,,
Energy efficiency,Energy efficiency,,
Energy transition,Energy transition,,
Engagement,Commitment,,
Engagement fluctuations,Engagement fluctuations,,
Engagement issues,Engagement issues,,
Engagement with community,Engagement with community,,
Engagement with psychology,Engagement with psychology,,
Engineering,Engineering,,
Engineering analysis,Engineering analysis,,
Engineering applications,Engineering applications,,
Engineering Challenges,Engineering Challenges,,
Engineering considerations,Engineering considerations,,
Engineering design,Engineering design,,
Engineering optimization,Engineering optimization,,
Enhanced competence,Enhanced competence,,
Enjoyment of nature,Enjoyment of nature,,
Enrollment process,Enrollment process,,
Entertainment,Entertainment,,
Enthousiasme,Enthusiasm,,
Enthusiasm for new beginnings,Enthusiasm for new beginnings,,
Enthusiasm for research,Enthusiasm for research,,
Entrepreneurship,Entrepreneurship,,
Environmental awareness,Environmental awareness,,
Environmental challenges,Environmental challenges,,
Environmental changes,Environmental changes,,
Environmental concerns,Environmental concerns,,
Environmental conditions,Environmental conditions,,
Environmental factors,Environmental factors,,
Environmental impact,Environmental impact,,
Environmental responsibility,Environmental responsibility,,
Environmental science,Environmental science,,
Environmental sustainability,Environmental sustainability,,
Epidemie,Epidemic,,
Epidemiologie,Epidemiology,,
Equality,Equality,,
Erfgoed,Heritage,,
Erfrecht,Inheritance,,
Erkenning,Recognition,,
Erkenning en waardering,Recognition and appreciation,,
Erkenning van bijdragen,Recognition of contributions,,
Erkenning van rol mantelzorgers,Recognition of the role of informal caregivers,,
Erosion processes,Erosion processes,,
Error management,Error management,,
Ervaring,Experience,,
Ervaring delen,Sharing experience,,
Ervaringen,Experiences,,
Ervaringen delen,Sharing experiences,,
Ervaringen met functiebeperkingen,Experiences with disabilities,,
Ervaringen met ongemak,Experiences with discomfort,,
Ervaringsdeskundigen,Experts by experience,,
Ervaringsdeskundigheid,Experiential expertise,,
Esthetiek,Aesthetics,,
Eten en ervaringen,Food and experiences,,
Ethical concerns,Ethical concerns,,
Ethical considerations,Ethical considerations,,
Ethical reasoning,Ethical reasoning,,
Ethics approval,Ethics approval,,
Ethiek,Ethics,,
Ethische aspecten,Ethical aspects,,
Ethische benaderingen,Ethical approaches,,
Ethische bewustwording,Ethical awareness,,
Ethische dialoog,Ethical dialogue,,
Ethische overpeinzing,Ethical contemplation,,
Ethische overwegingen,Ethical considerations,,
Ethische reflectie en maatschappelijke kritiek,Ethical reflection and social criticism,,
Ethische vraagstukken,Ethical issues,,
Ethnic identity,Ethnic identity,,
Ethnocentrism,Ethnocentrism,,
Etniciteit,Ethnicity,,
Etnisch profileren,Ethnic profiling,,
European identity,European identity,,
Europese samenwerking,European cooperation,,
Euthanasie,Euthanasia,,
Evaluatie,Evaluation,,
Evaluatieonderzoek,Evaluation research,,
Evaluation methods,Evaluation methods,,
Evasion attacks,Evasion attacks,,
Evenement,Event,,
Evenement promotie,Event promotion,,
Evenementen,Events,,
Evenementenorganisatie,Event organization,,
Event announcement,Event announcement,,
Evidence-based,Evidence-based,,
Evolutie,Evolution,,
Evolutie en verwantschap,Evolution and kinship,,
Evolutie van hulp,Evolution of aid,,
Evolutie van kleur,Evolution of color,,
Ex ante-evaluatie,Ex ante evaluation,,
Exam stress,Exam stress,,
Examens voorbereiden,Preparing for exams,,
Excitement,Excitement,,
Exclusion criteria,Exclusion criteria,,
Existentiële bedreigingen,Existential threats,,
Existentiële crisis,Existential crisis,,
Expectation,Expectation,,
Experience,Experience,,
Experiment,Experiment,,
Experimental design,Experimental design,,
Experimental procedure,Experimental procedure,,
Experimental results,Experimental results,,
Experimental validation,Experimental validation,,
Experimenteren,Experiment,,
Expertise,Expertise,,
Expertise delen,Sharing expertise,,
Expertise in climate change,Expertise in climate change,,
Expertise recognition,Expertise recognition,,
Expertisecentrum,Expertise,,
Expliciteren van processen,Explicating processes,,
Exploration,Exploration,,
Exploratory research,Exploratory research,,
External attribution,External attribution,,
Externe factoren,External factors,,
Externe stressoren,External stressors,,
Externe validatie,External validation,,
Extreme gebeurtenissen,Extreme events,,
Extreme weersomstandigheden,Extreme weather conditions,,
Extremism,Extremism,,
Facebook Reels,Facebook Reels,,
Faciliteiten,Facilities,,
Faciliterende factoren,Facilitating factors,,
Faciliterende omgeving,Facilitating environment,,
Faciliterende rol,Facilitating role,,
Facilitering,Facilitation,,
Factor analysis,Factor analysis,,
Factoren beïnvloeden,Influencing factors,,
Fairness,Fairness,,
Familie,Family,,
Familie en vrienden,Family and friends,,
Familierelaties,Family relationships,,
Family dynamics,Family dynamics,,
Family Support,Family Support,,
Fatale gevolgen,Fatal consequences,,
Fear,Fear,,
Feasibility study,Feasibility study,,
Feedback,Feedback,,
Feedback cultuur,Feedback culture,,
Feedback en herziening,Feedback and review,,
Feedbackmechanismen,Feedback mechanisms,,
Feestelijke gelegenheid,Festive occasion,,
Feiten,Facts,,
Felicitaties,Congratulations,,
Femicide,Femicide,,
Field study,Field study,,
Film as a medium,Film as a medium,,
Filosofie,Philosophy,,
Financial Education,Financial Education,,
Financial hardship,Financial hardship,,
Financial management,Financial management,,
Financial responsibility,Financial responsibility,,
Financiële barrières,Financial barriers,,
Financiële belemmeringen,Financial barriers,,
Financiële beperkingen,Financial constraints,,
Financiële druk,Financial pressure,,
Financiële gevolgen,Financial consequences,,
Financiële impact,Financial impact,,
Financiële maatregelen,Financial measures,,
Financiële obstakels,Financial obstacles,,
Financiële ondersteuning,Financial support,,
Financiële planning,Financial planning,,
Financiële problemen,Financial problems,,
Financiële risico's,Financial risks,,
Financiële stress,Financial stress,,
Financiële vragen,Financial questions,,
Financiële zorgen,Financial worries,,
Financiën,Finance,,
Financiering,Funding,,
Financiering en vergoedingen,Financing and fees,,
Financiering van zorg,Financing of care,,
Financieringsstructuren,Financing structures,,
Flexibele inzet van verpleegkundigen,Flexible deployment of nurses,,
Flexibiliteit,Flexibility,,
Flow and rhythm,Flow and rhythm,,
Flow state,Flow state,,
Fluid dynamics,Fluid dynamics,,
Focus,Focus,,
Focus on research,Focus on research,,
Focus on social issues,Focus on social issues,,
Focus on technological advancements,Focus on technological advancements,,
Focus op het hier en nu,Focus on the here and now,,
Focus op medewerkers,Focus on employees,,
Focus op uitdagingen,Focus on challenges,,
Focus op zorgomgeving,Focus on care environment,,
Food insecurity,Food insecurity,,
Food security,Food security,,
Food waste,Food waste,,
Formalisering,Formalisation,,
Forschungsperspektive,Forschungsperspektive,,
Fossielen,Fossils,,
Framework description,Framework description,,
Framework development,Framework development,,
Free speech,Free speech,,
Freedom of Expression,Freedom of Expression,,
Freedom of speech,Freedom of speech,,
Fresh perspective,Fresh perspective,,
Frustratie,Frustration,,
Frustratie over veranderingen,Frustration about changes,,
Frustration,Frustration,,
Fuel efficiency,Fuel efficiency,,
Functie van de politie,Function of the police,,
Functionele bruikbaarheid,Functional usability,,
Functionele impact,Functional impact,,
Funding,Funding,,
Further research,Further research,,
Future aspirations,Future aspirations,,
Future Concerns,Future Concerns,,
Future directions,Future directions,,
Future exploration,Future exploration,,
Future goals,Future goals,,
Future planning,Future planning,,
Future readiness,Future readiness,,
Future research directions,Future research directions,,
Future research recommendations,Future research recommendations,,
Future work,Future work,,
Future-oriented,Future-oriented,,
Future-oriented thinking,Future-oriented thinking,,
Fysieke activiteit,Physical activity,,
Fysieke belastbaarheid,Physical load capacity,,
Fysieke belasting,Physical strain,,
Fysieke gezondheid,Physical health,,
Fysieke reacties op stress,Physical reactions to stress,,
Fysieke uitputting,Physical exhaustion,,
Fysieke versus mentale problemen,Physical versus mental problems,,
Garantie en risico's,Warranty and risks,,
Gas pocket dynamics,Gas pocket dynamics,,
GDPR compliance,GDPR compliance,,
Gebouwbehoud,Building preservation,,
Gebrek aan casussen,Lack of cases,,
Gebrek aan communicatie,Lack of communication,,
Gebrek aan expertise,Lack of expertise,,
Gebrek aan interesse,Lack of interest,,
Gebrek aan kennis,Lack of knowledge,,
Gebrek aan motivatie,Lack of motivation,,
Gebrek aan toegankelijkheid,Lack of accessibility,,
Gebrek aan waardering,Lack of appreciation,,
Gebruik satellietgegevens,Use satellite data,,
Gebruik van middelen,Use of resources,,
Gebruik van technologie,Use of technology,,
Gebruik van visuele middelen,Use of visual aids,,
Gebruikfase,Usage phase,,
Gebruikservaring,Experience,,
Gebruiksvriendelijkheid,User-friendliness,,
Gedeelde verantwoordelijkheid,Shared responsibility,,
Gedrag,Behavior,,
Gedragsdynamiek en veranderprocessen,Behavioural dynamics and change processes,,
Gedragsverandering,Behavioral change,,
Gedragsveranderingen,Behavioral changes,,
Geen aanpassing,No adjustment,,
Geen onderscheid maken,Not making a distinction,,
Geen zelfvertrouwen,No self-confidence,,
Geestelijke gezondheid,Mental health,,
Geestelijke gezondheidszorg,Mental health care,,
Gegevensanalyse,Data analysis,,
Gegevensgebruik,Data usage,,
