"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	"Sex"	"Sex Code"	Deaths
	"Alabama"	"01"	"2011"	"2011"	"80-84 years"	"80-84"	"Male"	"M"	24
	"Alabama"	"01"	"2012"	"2012"	"60-64 years "	"60-64"	"Male"	"M"	21
	"Alabama"	"01"	"2012"	"2012"	"65-69 years"	"65-69"	"Male"	"M"	19
	"Alabama"	"01"	"2012"	"2012"	"70-74 years"	"70-74"	"Male"	"M"	18
	"Alabama"	"01"	"2012"	"2012"	"75-79 years"	"75-79"	"Male"	"M"	18
	"Alabama"	"01"	"2012"	"2012"	"85+ years"	"85+"	"Male"	"M"	18
	"Alabama"	"01"	"2013"	"2013"	"65-69 years"	"65-69"	"Male"	"M"	25
	"Alabama"	"01"	"2013"	"2013"	"70-74 years"	"70-74"	"Male"	"M"	22
	"Alabama"	"01"	"2013"	"2013"	"75-79 years"	"75-79"	"Male"	"M"	26
	"Alabama"	"01"	"2013"	"2013"	"85+ years"	"85+"	"Male"	"M"	17
	"Alabama"	"01"	"2014"	"2014"	"60-64 years "	"60-64"	"Male"	"M"	17
	"Alabama"	"01"	"2014"	"2014"	"65-69 years"	"65-69"	"Male"	"M"	18
	"Alabama"	"01"	"2014"	"2014"	"70-74 years"	"70-74"	"Male"	"M"	19
	"Alabama"	"01"	"2014"	"2014"	"75-79 years"	"75-79"	"Male"	"M"	18
	"Alabama"	"01"	"2014"	"2014"	"85+ years"	"85+"	"Male"	"M"	17
	"Alabama"	"01"	"2015"	"2015"	"65-69 years"	"65-69"	"Male"	"M"	18
	"Alabama"	"01"	"2015"	"2015"	"70-74 years"	"70-74"	"Male"	"M"	20
	"Alabama"	"01"	"2015"	"2015"	"75-79 years"	"75-79"	"Male"	"M"	18
	"Alabama"	"01"	"2015"	"2015"	"80-84 years"	"80-84"	"Male"	"M"	20
	"Alabama"	"01"	"2015"	"2015"	"85+ years"	"85+"	"Male"	"M"	16
	"Alabama"	"01"	"2016"	"2016"	"70-74 years"	"70-74"	"Male"	"M"	19
	"Alabama"	"01"	"2016"	"2016"	"75-79 years"	"75-79"	"Male"	"M"	18
	"Alabama"	"01"	"2016"	"2016"	"80-84 years"	"80-84"	"Male"	"M"	22
	"Alabama"	"01"	"2017"	"2017"	"65-69 years"	"65-69"	"Male"	"M"	21
	"Alabama"	"01"	"2017"	"2017"	"70-74 years"	"70-74"	"Male"	"M"	22
	"Alabama"	"01"	"2017"	"2017"	"75-79 years"	"75-79"	"Male"	"M"	22
	"Alabama"	"01"	"2018"	"2018"	"65-69 years"	"65-69"	"Male"	"M"	19
	"Alabama"	"01"	"2018"	"2018"	"70-74 years"	"70-74"	"Male"	"M"	19
	"Alabama"	"01"	"2018"	"2018"	"75-79 years"	"75-79"	"Male"	"M"	23
	"Alabama"	"01"	"2018"	"2018"	"80-84 years"	"80-84"	"Male"	"M"	21
	"Alabama"	"01"	"2019"	"2019"	"60-64 years "	"60-64"	"Male"	"M"	17
	"Alabama"	"01"	"2019"	"2019"	"65-69 years"	"65-69"	"Male"	"M"	22
	"Alabama"	"01"	"2019"	"2019"	"70-74 years"	"70-74"	"Male"	"M"	20
	"Alabama"	"01"	"2019"	"2019"	"75-79 years"	"75-79"	"Male"	"M"	17
	"Alabama"	"01"	"2019"	"2019"	"80-84 years"	"80-84"	"Male"	"M"	23
	"Alabama"	"01"	"2020"	"2020"	"65-69 years"	"65-69"	"Male"	"M"	16
	"Alabama"	"01"	"2020"	"2020"	"70-74 years"	"70-74"	"Male"	"M"	21
	"Alabama"	"01"	"2020"	"2020"	"75-79 years"	"75-79"	"Male"	"M"	17
	"Alabama"	"01"	"2020"	"2020"	"80-84 years"	"80-84"	"Male"	"M"	23
	"Alabama"	"01"	"2020"	"2020"	"85+ years"	"85+"	"Male"	"M"	29
	"Alabama"	"01"	"2021"	"2021"	"65-69 years"	"65-69"	"Male"	"M"	17
	"Alabama"	"01"	"2021"	"2021"	"70-74 years"	"70-74"	"Male"	"M"	20
	"Alabama"	"01"	"2021"	"2021"	"75-79 years"	"75-79"	"Male"	"M"	22
	"Arizona"	"04"	"1999"	"1999"	"65-69 years"	"65-69"	"Male"	"M"	16
	"Arizona"	"04"	"1999"	"1999"	"75-79 years"	"75-79"	"Male"	"M"	20
	"Arizona"	"04"	"2000"	"2000"	"75-79 years"	"75-79"	"Male"	"M"	17
	"Arizona"	"04"	"2001"	"2001"	"70-74 years"	"70-74"	"Male"	"M"	19
	"Arizona"	"04"	"2001"	"2001"	"80-84 years"	"80-84"	"Male"	"M"	19
	"Arizona"	"04"	"2002"	"2002"	"70-74 years"	"70-74"	"Male"	"M"	24
	"Arizona"	"04"	"2002"	"2002"	"75-79 years"	"75-79"	"Male"	"M"	18
	"Arizona"	"04"	"2002"	"2002"	"80-84 years"	"80-84"	"Male"	"M"	19
	"Arizona"	"04"	"2004"	"2004"	"75-79 years"	"75-79"	"Male"	"M"	28
	"Arizona"	"04"	"2004"	"2004"	"80-84 years"	"80-84"	"Male"	"M"	23
	"Arizona"	"04"	"2005"	"2005"	"70-74 years"	"70-74"	"Male"	"M"	16
	"Arizona"	"04"	"2005"	"2005"	"75-79 years"	"75-79"	"Male"	"M"	18
	"Arizona"	"04"	"2005"	"2005"	"85+ years"	"85+"	"Male"	"M"	16
	"Arizona"	"04"	"2006"	"2006"	"75-79 years"	"75-79"	"Male"	"M"	19
	"Arizona"	"04"	"2006"	"2006"	"85+ years"	"85+"	"Male"	"M"	16
	"Arizona"	"04"	"2007"	"2007"	"75-79 years"	"75-79"	"Male"	"M"	25
	"Arizona"	"04"	"2007"	"2007"	"80-84 years"	"80-84"	"Male"	"M"	18
	"Arizona"	"04"	"2007"	"2007"	"85+ years"	"85+"	"Male"	"M"	16
	"Arizona"	"04"	"2008"	"2008"	"70-74 years"	"70-74"	"Male"	"M"	19
	"Arizona"	"04"	"2008"	"2008"	"75-79 years"	"75-79"	"Male"	"M"	21
	"Arizona"	"04"	"2008"	"2008"	"80-84 years"	"80-84"	"Male"	"M"	17
	"Arizona"	"04"	"2008"	"2008"	"85+ years"	"85+"	"Male"	"M"	23
	"Arizona"	"04"	"2009"	"2009"	"75-79 years"	"75-79"	"Male"	"M"	18
	"Arizona"	"04"	"2009"	"2009"	"80-84 years"	"80-84"	"Male"	"M"	19
	"Arizona"	"04"	"2009"	"2009"	"85+ years"	"85+"	"Male"	"M"	17
	"Arizona"	"04"	"2010"	"2010"	"60-64 years "	"60-64"	"Male"	"M"	16
	"Arizona"	"04"	"2010"	"2010"	"65-69 years"	"65-69"	"Male"	"M"	20
	"Arizona"	"04"	"2010"	"2010"	"75-79 years"	"75-79"	"Male"	"M"	27
	"Arizona"	"04"	"2010"	"2010"	"80-84 years"	"80-84"	"Male"	"M"	17
	"Arizona"	"04"	"2011"	"2011"	"65-69 years"	"65-69"	"Male"	"M"	18
	"Arizona"	"04"	"2011"	"2011"	"70-74 years"	"70-74"	"Male"	"M"	23
	"Arizona"	"04"	"2011"	"2011"	"75-79 years"	"75-79"	"Male"	"M"	26
	"Arizona"	"04"	"2011"	"2011"	"80-84 years"	"80-84"	"Male"	"M"	19
	"Arizona"	"04"	"2011"	"2011"	"85+ years"	"85+"	"Male"	"M"	18
	"Arizona"	"04"	"2012"	"2012"	"65-69 years"	"65-69"	"Male"	"M"	17
	"Arizona"	"04"	"2012"	"2012"	"70-74 years"	"70-74"	"Male"	"M"	23
	"Arizona"	"04"	"2012"	"2012"	"75-79 years"	"75-79"	"Male"	"M"	26
	"Arizona"	"04"	"2012"	"2012"	"85+ years"	"85+"	"Male"	"M"	16
	"Arizona"	"04"	"2013"	"2013"	"60-64 years "	"60-64"	"Male"	"M"	17
	"Arizona"	"04"	"2013"	"2013"	"65-69 years"	"65-69"	"Male"	"M"	17
	"Arizona"	"04"	"2013"	"2013"	"70-74 years"	"70-74"	"Male"	"M"	17
	"Arizona"	"04"	"2013"	"2013"	"75-79 years"	"75-79"	"Male"	"M"	19
	"Arizona"	"04"	"2013"	"2013"	"80-84 years"	"80-84"	"Male"	"M"	18
	"Arizona"	"04"	"2013"	"2013"	"85+ years"	"85+"	"Male"	"M"	16
	"Arizona"	"04"	"2014"	"2014"	"65-69 years"	"65-69"	"Male"	"M"	17
	"Arizona"	"04"	"2014"	"2014"	"70-74 years"	"70-74"	"Male"	"M"	22
	"Arizona"	"04"	"2014"	"2014"	"75-79 years"	"75-79"	"Male"	"M"	24
	"Arizona"	"04"	"2014"	"2014"	"80-84 years"	"80-84"	"Male"	"M"	30
	"Arizona"	"04"	"2014"	"2014"	"85+ years"	"85+"	"Male"	"M"	22
	"Arizona"	"04"	"2015"	"2015"	"65-69 years"	"65-69"	"Male"	"M"	17
	"Arizona"	"04"	"2015"	"2015"	"70-74 years"	"70-74"	"Male"	"M"	21
	"Arizona"	"04"	"2015"	"2015"	"75-79 years"	"75-79"	"Male"	"M"	22
	"Arizona"	"04"	"2015"	"2015"	"80-84 years"	"80-84"	"Male"	"M"	21
	"Arizona"	"04"	"2015"	"2015"	"85+ years"	"85+"	"Male"	"M"	24
	"Arizona"	"04"	"2016"	"2016"	"60-64 years "	"60-64"	"Male"	"M"	16
	"Arizona"	"04"	"2016"	"2016"	"65-69 years"	"65-69"	"Male"	"M"	19
	"Arizona"	"04"	"2016"	"2016"	"70-74 years"	"70-74"	"Male"	"M"	28
	"Arizona"	"04"	"2016"	"2016"	"75-79 years"	"75-79"	"Male"	"M"	22
	"Arizona"	"04"	"2016"	"2016"	"80-84 years"	"80-84"	"Male"	"M"	18
	"Arizona"	"04"	"2016"	"2016"	"85+ years"	"85+"	"Male"	"M"	30
	"Arizona"	"04"	"2017"	"2017"	"65-69 years"	"65-69"	"Male"	"M"	31
	"Arizona"	"04"	"2017"	"2017"	"70-74 years"	"70-74"	"Male"	"M"	23
	"Arizona"	"04"	"2017"	"2017"	"75-79 years"	"75-79"	"Male"	"M"	24
	"Arizona"	"04"	"2017"	"2017"	"80-84 years"	"80-84"	"Male"	"M"	23
	"Arizona"	"04"	"2017"	"2017"	"85+ years"	"85+"	"Male"	"M"	25
	"Arizona"	"04"	"2018"	"2018"	"65-69 years"	"65-69"	"Male"	"M"	22
	"Arizona"	"04"	"2018"	"2018"	"70-74 years"	"70-74"	"Male"	"M"	25
	"Arizona"	"04"	"2018"	"2018"	"75-79 years"	"75-79"	"Male"	"M"	39
	"Arizona"	"04"	"2018"	"2018"	"80-84 years"	"80-84"	"Male"	"M"	24
	"Arizona"	"04"	"2018"	"2018"	"85+ years"	"85+"	"Male"	"M"	37
	"Arizona"	"04"	"2019"	"2019"	"65-69 years"	"65-69"	"Male"	"M"	18
	"Arizona"	"04"	"2019"	"2019"	"70-74 years"	"70-74"	"Male"	"M"	17
	"Arizona"	"04"	"2019"	"2019"	"75-79 years"	"75-79"	"Male"	"M"	26
	"Arizona"	"04"	"2019"	"2019"	"80-84 years"	"80-84"	"Male"	"M"	27
	"Arizona"	"04"	"2019"	"2019"	"85+ years"	"85+"	"Male"	"M"	34
	"Arizona"	"04"	"2020"	"2020"	"70-74 years"	"70-74"	"Male"	"M"	31
	"Arizona"	"04"	"2020"	"2020"	"75-79 years"	"75-79"	"Male"	"M"	34
	"Arizona"	"04"	"2020"	"2020"	"80-84 years"	"80-84"	"Male"	"M"	27
	"Arizona"	"04"	"2020"	"2020"	"85+ years"	"85+"	"Male"	"M"	29
	"Arizona"	"04"	"2021"	"2021"	"70-74 years"	"70-74"	"Male"	"M"	29
	"Arizona"	"04"	"2021"	"2021"	"75-79 years"	"75-79"	"Male"	"M"	25
	"Arizona"	"04"	"2021"	"2021"	"80-84 years"	"80-84"	"Male"	"M"	29
	"Arizona"	"04"	"2021"	"2021"	"85+ years"	"85+"	"Male"	"M"	25
	"Arkansas"	"05"	"2001"	"2001"	"70-74 years"	"70-74"	"Male"	"M"	16
	"Arkansas"	"05"	"2004"	"2004"	"75-79 years"	"75-79"	"Male"	"M"	17
	"Arkansas"	"05"	"2009"	"2009"	"75-79 years"	"75-79"	"Male"	"M"	17
	"Arkansas"	"05"	"2015"	"2015"	"75-79 years"	"75-79"	"Male"	"M"	16
	"Arkansas"	"05"	"2017"	"2017"	"75-79 years"	"75-79"	"Male"	"M"	17
	"Arkansas"	"05"	"2018"	"2018"	"85+ years"	"85+"	"Male"	"M"	16
	"California"	"06"	"1999"	"1999"	"45-49 years"	"45-49"	"Male"	"M"	18
	"California"	"06"	"1999"	"1999"	"50-54 years"	"50-54"	"Male"	"M"	31
	"California"	"06"	"1999"	"1999"	"55-59 years"	"55-59"	"Male"	"M"	43
	"California"	"06"	"1999"	"1999"	"60-64 years "	"60-64"	"Male"	"M"	49
	"California"	"06"	"1999"	"1999"	"65-69 years"	"65-69"	"Male"	"M"	78
	"California"	"06"	"1999"	"1999"	"70-74 years"	"70-74"	"Male"	"M"	87
	"California"	"06"	"1999"	"1999"	"75-79 years"	"75-79"	"Male"	"M"	101
	"California"	"06"	"1999"	"1999"	"80-84 years"	"80-84"	"Male"	"M"	71
	"California"	"06"	"1999"	"1999"	"85+ years"	"85+"	"Male"	"M"	52
	"California"	"06"	"2000"	"2000"	"50-54 years"	"50-54"	"Male"	"M"	18
	"California"	"06"	"2000"	"2000"	"55-59 years"	"55-59"	"Male"	"M"	38
	"California"	"06"	"2000"	"2000"	"60-64 years "	"60-64"	"Male"	"M"	46
	"California"	"06"	"2000"	"2000"	"65-69 years"	"65-69"	"Male"	"M"	55
	"California"	"06"	"2000"	"2000"	"70-74 years"	"70-74"	"Male"	"M"	72
	"California"	"06"	"2000"	"2000"	"75-79 years"	"75-79"	"Male"	"M"	96
	"California"	"06"	"2000"	"2000"	"80-84 years"	"80-84"	"Male"	"M"	73
	"California"	"06"	"2000"	"2000"	"85+ years"	"85+"	"Male"	"M"	61
	"California"	"06"	"2001"	"2001"	"45-49 years"	"45-49"	"Male"	"M"	17
	"California"	"06"	"2001"	"2001"	"50-54 years"	"50-54"	"Male"	"M"	35
	"California"	"06"	"2001"	"2001"	"55-59 years"	"55-59"	"Male"	"M"	39
	"California"	"06"	"2001"	"2001"	"60-64 years "	"60-64"	"Male"	"M"	44
	"California"	"06"	"2001"	"2001"	"65-69 years"	"65-69"	"Male"	"M"	63
	"California"	"06"	"2001"	"2001"	"70-74 years"	"70-74"	"Male"	"M"	99
	"California"	"06"	"2001"	"2001"	"75-79 years"	"75-79"	"Male"	"M"	104
	"California"	"06"	"2001"	"2001"	"80-84 years"	"80-84"	"Male"	"M"	67
	"California"	"06"	"2001"	"2001"	"85+ years"	"85+"	"Male"	"M"	62
	"California"	"06"	"2002"	"2002"	"45-49 years"	"45-49"	"Male"	"M"	19
	"California"	"06"	"2002"	"2002"	"50-54 years"	"50-54"	"Male"	"M"	36
	"California"	"06"	"2002"	"2002"	"55-59 years"	"55-59"	"Male"	"M"	40
	"California"	"06"	"2002"	"2002"	"60-64 years "	"60-64"	"Male"	"M"	52
	"California"	"06"	"2002"	"2002"	"65-69 years"	"65-69"	"Male"	"M"	62
	"California"	"06"	"2002"	"2002"	"70-74 years"	"70-74"	"Male"	"M"	75
	"California"	"06"	"2002"	"2002"	"75-79 years"	"75-79"	"Male"	"M"	100
	"California"	"06"	"2002"	"2002"	"80-84 years"	"80-84"	"Male"	"M"	104
	"California"	"06"	"2002"	"2002"	"85+ years"	"85+"	"Male"	"M"	78
	"California"	"06"	"2003"	"2003"	"45-49 years"	"45-49"	"Male"	"M"	17
	"California"	"06"	"2003"	"2003"	"50-54 years"	"50-54"	"Male"	"M"	35
	"California"	"06"	"2003"	"2003"	"55-59 years"	"55-59"	"Male"	"M"	50
	"California"	"06"	"2003"	"2003"	"60-64 years "	"60-64"	"Male"	"M"	53
	"California"	"06"	"2003"	"2003"	"65-69 years"	"65-69"	"Male"	"M"	72
	"California"	"06"	"2003"	"2003"	"70-74 years"	"70-74"	"Male"	"M"	91
	"California"	"06"	"2003"	"2003"	"75-79 years"	"75-79"	"Male"	"M"	82
	"California"	"06"	"2003"	"2003"	"80-84 years"	"80-84"	"Male"	"M"	78
	"California"	"06"	"2003"	"2003"	"85+ years"	"85+"	"Male"	"M"	63
	"California"	"06"	"2004"	"2004"	"50-54 years"	"50-54"	"Male"	"M"	27
	"California"	"06"	"2004"	"2004"	"55-59 years"	"55-59"	"Male"	"M"	41
	"California"	"06"	"2004"	"2004"	"60-64 years "	"60-64"	"Male"	"M"	62
	"California"	"06"	"2004"	"2004"	"65-69 years"	"65-69"	"Male"	"M"	63
	"California"	"06"	"2004"	"2004"	"70-74 years"	"70-74"	"Male"	"M"	79
	"California"	"06"	"2004"	"2004"	"75-79 years"	"75-79"	"Male"	"M"	105
	"California"	"06"	"2004"	"2004"	"80-84 years"	"80-84"	"Male"	"M"	93
	"California"	"06"	"2004"	"2004"	"85+ years"	"85+"	"Male"	"M"	62
	"California"	"06"	"2005"	"2005"	"45-49 years"	"45-49"	"Male"	"M"	24
	"California"	"06"	"2005"	"2005"	"50-54 years"	"50-54"	"Male"	"M"	27
	"California"	"06"	"2005"	"2005"	"55-59 years"	"55-59"	"Male"	"M"	38
	"California"	"06"	"2005"	"2005"	"60-64 years "	"60-64"	"Male"	"M"	55
	"California"	"06"	"2005"	"2005"	"65-69 years"	"65-69"	"Male"	"M"	66
	"California"	"06"	"2005"	"2005"	"70-74 years"	"70-74"	"Male"	"M"	88
	"California"	"06"	"2005"	"2005"	"75-79 years"	"75-79"	"Male"	"M"	96
	"California"	"06"	"2005"	"2005"	"80-84 years"	"80-84"	"Male"	"M"	92
	"California"	"06"	"2005"	"2005"	"85+ years"	"85+"	"Male"	"M"	75
	"California"	"06"	"2006"	"2006"	"50-54 years"	"50-54"	"Male"	"M"	28
	"California"	"06"	"2006"	"2006"	"55-59 years"	"55-59"	"Male"	"M"	43
	"California"	"06"	"2006"	"2006"	"60-64 years "	"60-64"	"Male"	"M"	60
	"California"	"06"	"2006"	"2006"	"65-69 years"	"65-69"	"Male"	"M"	69
	"California"	"06"	"2006"	"2006"	"70-74 years"	"70-74"	"Male"	"M"	70
	"California"	"06"	"2006"	"2006"	"75-79 years"	"75-79"	"Male"	"M"	88
	"California"	"06"	"2006"	"2006"	"80-84 years"	"80-84"	"Male"	"M"	81
	"California"	"06"	"2006"	"2006"	"85+ years"	"85+"	"Male"	"M"	80
	"California"	"06"	"2007"	"2007"	"45-49 years"	"45-49"	"Male"	"M"	20
	"California"	"06"	"2007"	"2007"	"50-54 years"	"50-54"	"Male"	"M"	31
	"California"	"06"	"2007"	"2007"	"55-59 years"	"55-59"	"Male"	"M"	36
	"California"	"06"	"2007"	"2007"	"60-64 years "	"60-64"	"Male"	"M"	63
	"California"	"06"	"2007"	"2007"	"65-69 years"	"65-69"	"Male"	"M"	71
	"California"	"06"	"2007"	"2007"	"70-74 years"	"70-74"	"Male"	"M"	90
	"California"	"06"	"2007"	"2007"	"75-79 years"	"75-79"	"Male"	"M"	98
	"California"	"06"	"2007"	"2007"	"80-84 years"	"80-84"	"Male"	"M"	96
	"California"	"06"	"2007"	"2007"	"85+ years"	"85+"	"Male"	"M"	88
	"California"	"06"	"2008"	"2008"	"45-49 years"	"45-49"	"Male"	"M"	16
	"California"	"06"	"2008"	"2008"	"50-54 years"	"50-54"	"Male"	"M"	28
	"California"	"06"	"2008"	"2008"	"55-59 years"	"55-59"	"Male"	"M"	44
	"California"	"06"	"2008"	"2008"	"60-64 years "	"60-64"	"Male"	"M"	66
	"California"	"06"	"2008"	"2008"	"65-69 years"	"65-69"	"Male"	"M"	72
	"California"	"06"	"2008"	"2008"	"70-74 years"	"70-74"	"Male"	"M"	84
	"California"	"06"	"2008"	"2008"	"75-79 years"	"75-79"	"Male"	"M"	95
	"California"	"06"	"2008"	"2008"	"80-84 years"	"80-84"	"Male"	"M"	86
	"California"	"06"	"2008"	"2008"	"85+ years"	"85+"	"Male"	"M"	82
	"California"	"06"	"2009"	"2009"	"50-54 years"	"50-54"	"Male"	"M"	24
	"California"	"06"	"2009"	"2009"	"55-59 years"	"55-59"	"Male"	"M"	51
	"California"	"06"	"2009"	"2009"	"60-64 years "	"60-64"	"Male"	"M"	63
	"California"	"06"	"2009"	"2009"	"65-69 years"	"65-69"	"Male"	"M"	82
	"California"	"06"	"2009"	"2009"	"70-74 years"	"70-74"	"Male"	"M"	96
	"California"	"06"	"2009"	"2009"	"75-79 years"	"75-79"	"Male"	"M"	87
	"California"	"06"	"2009"	"2009"	"80-84 years"	"80-84"	"Male"	"M"	99
	"California"	"06"	"2009"	"2009"	"85+ years"	"85+"	"Male"	"M"	99
	"California"	"06"	"2010"	"2010"	"50-54 years"	"50-54"	"Male"	"M"	20
	"California"	"06"	"2010"	"2010"	"55-59 years"	"55-59"	"Male"	"M"	32
	"California"	"06"	"2010"	"2010"	"60-64 years "	"60-64"	"Male"	"M"	59
	"California"	"06"	"2010"	"2010"	"65-69 years"	"65-69"	"Male"	"M"	68
	"California"	"06"	"2010"	"2010"	"70-74 years"	"70-74"	"Male"	"M"	94
	"California"	"06"	"2010"	"2010"	"75-79 years"	"75-79"	"Male"	"M"	96
	"California"	"06"	"2010"	"2010"	"80-84 years"	"80-84"	"Male"	"M"	94
	"California"	"06"	"2010"	"2010"	"85+ years"	"85+"	"Male"	"M"	124
	"California"	"06"	"2011"	"2011"	"50-54 years"	"50-54"	"Male"	"M"	29
	"California"	"06"	"2011"	"2011"	"55-59 years"	"55-59"	"Male"	"M"	26
	"California"	"06"	"2011"	"2011"	"60-64 years "	"60-64"	"Male"	"M"	61
	"California"	"06"	"2011"	"2011"	"65-69 years"	"65-69"	"Male"	"M"	61
	"California"	"06"	"2011"	"2011"	"70-74 years"	"70-74"	"Male"	"M"	119
	"California"	"06"	"2011"	"2011"	"75-79 years"	"75-79"	"Male"	"M"	96
	"California"	"06"	"2011"	"2011"	"80-84 years"	"80-84"	"Male"	"M"	106
	"California"	"06"	"2011"	"2011"	"85+ years"	"85+"	"Male"	"M"	104
	"California"	"06"	"2012"	"2012"	"55-59 years"	"55-59"	"Male"	"M"	51
	"California"	"06"	"2012"	"2012"	"60-64 years "	"60-64"	"Male"	"M"	70
	"California"	"06"	"2012"	"2012"	"65-69 years"	"65-69"	"Male"	"M"	89
	"California"	"06"	"2012"	"2012"	"70-74 years"	"70-74"	"Male"	"M"	96
	"California"	"06"	"2012"	"2012"	"75-79 years"	"75-79"	"Male"	"M"	103
	"California"	"06"	"2012"	"2012"	"80-84 years"	"80-84"	"Male"	"M"	92
	"California"	"06"	"2012"	"2012"	"85+ years"	"85+"	"Male"	"M"	116
	"California"	"06"	"2013"	"2013"	"50-54 years"	"50-54"	"Male"	"M"	28
	"California"	"06"	"2013"	"2013"	"55-59 years"	"55-59"	"Male"	"M"	59
	"California"	"06"	"2013"	"2013"	"60-64 years "	"60-64"	"Male"	"M"	62
	"California"	"06"	"2013"	"2013"	"65-69 years"	"65-69"	"Male"	"M"	88
	"California"	"06"	"2013"	"2013"	"70-74 years"	"70-74"	"Male"	"M"	99
	"California"	"06"	"2013"	"2013"	"75-79 years"	"75-79"	"Male"	"M"	95
	"California"	"06"	"2013"	"2013"	"80-84 years"	"80-84"	"Male"	"M"	96
	"California"	"06"	"2013"	"2013"	"85+ years"	"85+"	"Male"	"M"	115
	"California"	"06"	"2014"	"2014"	"50-54 years"	"50-54"	"Male"	"M"	30
	"California"	"06"	"2014"	"2014"	"55-59 years"	"55-59"	"Male"	"M"	44
	"California"	"06"	"2014"	"2014"	"60-64 years "	"60-64"	"Male"	"M"	72
	"California"	"06"	"2014"	"2014"	"65-69 years"	"65-69"	"Male"	"M"	73
	"California"	"06"	"2014"	"2014"	"70-74 years"	"70-74"	"Male"	"M"	102
	"California"	"06"	"2014"	"2014"	"75-79 years"	"75-79"	"Male"	"M"	103
	"California"	"06"	"2014"	"2014"	"80-84 years"	"80-84"	"Male"	"M"	114
	"California"	"06"	"2014"	"2014"	"85+ years"	"85+"	"Male"	"M"	94
	"California"	"06"	"2015"	"2015"	"45-49 years"	"45-49"	"Male"	"M"	17
	"California"	"06"	"2015"	"2015"	"50-54 years"	"50-54"	"Male"	"M"	23
	"California"	"06"	"2015"	"2015"	"55-59 years"	"55-59"	"Male"	"M"	49
	"California"	"06"	"2015"	"2015"	"60-64 years "	"60-64"	"Male"	"M"	78
	"California"	"06"	"2015"	"2015"	"65-69 years"	"65-69"	"Male"	"M"	110
	"California"	"06"	"2015"	"2015"	"70-74 years"	"70-74"	"Male"	"M"	112
